
m:\bw1bect0_OBCU_ATP_CONSTRUCTION_int\TGMT_OBCU_ATP\ATP_BUILD\GEN\Appl>java -jar c:\bin\OmfAnalysis.jar Appl.omf 1024 ..\..\..\ANI\src ..\..\..\ATP_root\src ..\..\..\braking_curves\src ..\..\..\configuration\src ..\..\..\diagnosis\src ..\..\..\DOOR\src ..\..\..\locating\src ..\..\..\modes_level\src ..\..\..\movement_authority\src ..\..\..\supervisions\src ..\..\..\tdb_management\src ..\..\..\TIU\src ..\..\..\train_consist_manager\src 
OmfAnalysis v1.03, 24.07.2018
OMF-File: Appl.omf ok.
Size=9840732 Bytes, CPU-time 2,22500 ms
CPP-file=ROOT_ATPROOT_C.CPP, CPU-time 2,67500 ms
CPP-file=ROOT_APPLICATION_C.CPP, CPU-time 3,00100 ms
CPP-file=ROOT_DEVICE_C.CPP, CPU-time 3,14400 ms
CPP-file=ROOT_NULLDEVICE_C.CPP, CPU-time 3,17700 ms
CPP-file=ROOT_DEVICEQUEUE_C.CPP, CPU-time 3,19900 ms
CPP-file=ROOT_DEVICECOMM_C.CPP, CPU-time 3,22300 ms
CPP-file=ROOT_DEVICEMBX_C.CPP, CPU-time 3,24600 ms
CPP-file=ROOT_DEVICECYCLY_C.CPP, CPU-time 3,27400 ms
CPP-file=ROOT_SSF_C.CPP, CPU-time 3,31600 ms
CPP-file=ROOT_TELEGRAMHANDLER_I.CPP, CPU-time 3,33700 ms
CPP-file=ROOT_TIMEREVENT_I.CPP, CPU-time 3,36100 ms
CPP-file=ROOT_TIMEREVENT_C.CPP, CPU-time 3,38600 ms
CPP-file=ROTCMEM.CPP, CPU-time 3,43000 ms
CPP-file=ROOT_SYSFUNC.CPP, CPU-time 3,46300 ms
CPP-file=ROOT_OSTREAM_C.CPP, CPU-time 3,50500 ms
CPP-file=ROOT_ISTREAM_C.CPP, CPU-time 3,54800 ms
CPP-file=ROOT_IBITSTREAM_C.CPP, CPU-time 3,58200 ms
CPP-file=ROOT_STRING_C.CPP, CPU-time 3,61100 ms
CPP-file=ROOT_TROUBLEMESSAGE_C.CPP, CPU-time 3,63200 ms
CPP-file=ROOT_TIMER_C.CPP, CPU-time 3,65000 ms
CPP-file=ANI_ANI_C.CPP, CPU-time 3,72600 ms
CPP-file=ANI_CLCHANNELOBCUATP_C.CPP, CPU-time 3,75700 ms
CPP-file=ANI_CLCHANNELWCUATP_C.CPP, CPU-time 3,80400 ms
CPP-file=ANI_CLCHANNELWCUTTS_C.CPP, CPU-time 3,83500 ms
CPP-file=ANI_CLNETWORKADAPTEROBCUATP_C.CPP, CPU-time 3,86400 ms
CPP-file=ANI_CLNETWORKADAPTERWCUATP_C.CPP, CPU-time 3,88500 ms
CPP-file=ANI_CLNETWORKADAPTERWCUTTS_C.CPP, CPU-time 3,90600 ms
CPP-file=ANI_CONFIG_C.CPP, CPU-time 3,94000 ms
CPP-file=ANI_RANDOM_C.CPP, CPU-time 3,96500 ms
CPP-file=ANI_TELEGRAMHANDLER_I.CPP, CPU-time 3,98300 ms
CPP-file=ANI_TRACKDATABASEMANAGEMENT_I.CPP, CPU-time 4,00100 ms
CPP-file=ANI_TRAINCONSISTMANAGER_I.CPP, CPU-time 4,01900 ms
CPP-file=CHANNELADAPTER.CPP, CPU-time 4,04000 ms
CPP-file=CHANNELBASE.CPP, CPU-time 4,06300 ms
CPP-file=NETWORKADAPTER.CPP, CPU-time 4,08500 ms
CPP-file=PCB_SAFETY_CODE.CPP, CPU-time 4,13800 ms
CPP-file=SAFETYCODE.CPP, CPU-time 4,16000 ms
CPP-file=SYNCHRONISER.CPP, CPU-time 4,18400 ms
CPP-file=UNITMONITORBASE.CPP, CPU-time 4,22100 ms
CPP-file=VITALUNITMNGR.CPP, CPU-time 4,25000 ms
CPP-file=VITALUNITMONITOR.CPP, CPU-time 4,29900 ms
CPP-file=CFG_TELEGRAMHANDLER_I.CPP, CPU-time 4,31800 ms
CPP-file=CFG_CONFIGURATION_I.CPP, CPU-time 4,33600 ms
CPP-file=CFG_TRAINCONSISTMANAGER_I.CPP, CPU-time 4,35400 ms
CPP-file=CFG_CONFIGNODE_C.CPP, CPU-time 4,39600 ms
CPP-file=CFG_CONFIGURATION_C.CPP, CPU-time 4,43200 ms
CPP-file=CFG_FAILSAFEDATAINPUT_C.CPP, CPU-time 4,52400 ms
CPP-file=CFG_CONFIGINT_C.CPP, CPU-time 4,54200 ms
CPP-file=CFG_CONFIGUINT_C.CPP, CPU-time 4,56300 ms
CPP-file=CFG_CONFIGSTRING_C.CPP, CPU-time 4,58200 ms
CPP-file=CFG_CONFIGARGUMENTLIST_C.CPP, CPU-time 4,61700 ms
CPP-file=CFG_TROUBLEMESSAGEMNGR_C.CPP, CPU-time 4,64800 ms
CPP-file=CFG_STORAGE_C.CPP, CPU-time 4,72900 ms
CPP-file=CFG_FDICMD_C.CPP, CPU-time 4,76300 ms
CPP-file=CFG_FDIEXCHANGEMSG_C.CPP, CPU-time 4,78700 ms
CPP-file=CFG_FDI_I.CPP, CPU-time 4,80600 ms
CPP-file=CFG_FDIOBCUIDCMD_C.CPP, CPU-time 4,82700 ms
CPP-file=CFG_FDIBALISEANTENNASTRINGCMD_C.CPP, CPU-time 4,85500 ms
CPP-file=CFG_FDIVEHICLETYPECMD_C.CPP, CPU-time 4,87500 ms
CPP-file=CFG_FDIWHEELDIAMETERCMD_C.CPP, CPU-time 4,89500 ms
CPP-file=CFG_FDICALIBRATIONFACTORCMD_C.CPP, CPU-time 4,91600 ms
CPP-file=CFG_FDIODOSENSORCHANNELSTATERADARCMD_C.CPP, CPU-time 4,93700 ms
CPP-file=CFG_FDIODOSENSORCHANNELSTATEOPGCMD_C.CPP, CPU-time 4,96000 ms
CPP-file=DIA_DIAGNOSIS_C.CPP, CPU-time 5,03000 ms
CPP-file=DIA_TRACE_C.CPP, CPU-time 5,06300 ms
CPP-file=DIA_TRACER_C.CPP, CPU-time 5,09800 ms
CPP-file=DIA_OBSERVER_I.CPP, CPU-time 5,11800 ms
CPP-file=DIA_TROUBLEMESSAGE_I.CPP, CPU-time 5,13600 ms
CPP-file=DIA_TELEGRAMHANDLER_I.CPP, CPU-time 5,15400 ms
CPP-file=DIA_SUBJECT_I.CPP, CPU-time 5,17100 ms
CPP-file=DIA_DETERMINEEBREASON_I.CPP, CPU-time 5,19000 ms
CPP-file=DIA_TRAININTERFACEUNIT_I.CPP, CPU-time 5,20800 ms
CPP-file=DOOR_TRAININTERFACEUNIT_I.CPP, CPU-time 5,22700 ms
CPP-file=DOOR_MODESLEVEL_I.CPP, CPU-time 5,24600 ms
CPP-file=DOOR_MOVEMENTAUTHORITY_I.CPP, CPU-time 5,26700 ms
CPP-file=DOOR_TELEGRAMHANDLER_I.CPP, CPU-time 5,28700 ms
CPP-file=DOOR_CFG_C.CPP, CPU-time 5,31100 ms
CPP-file=DOOR_PLATFORM_C.CPP, CPU-time 5,36000 ms
CPP-file=DOOR_PLATFORMLISTMANAGER_C.CPP, CPU-time 5,38500 ms
CPP-file=DOOR_TRAIN_C.CPP, CPU-time 5,49100 ms
CPP-file=DOOR_DOORSUPERVISION_C.CPP, CPU-time 5,54300 ms
CPP-file=LNK_LINKING_C.CPP, CPU-time 5,57500 ms
CPP-file=LNK_LINKINGINFORMATION_C.CPP, CPU-time 5,60400 ms
CPP-file=LNK_LINKINGINFORMATIONCONTROLLER_C.CPP, CPU-time 5,68100 ms
CPP-file=LNK_LINKINGINFORMATIONRECEIVER_C.CPP, CPU-time 5,75000 ms
CPP-file=LNK_LINKINGOBSERVER_I.CPP, CPU-time 5,77400 ms
CPP-file=LNK_LINKINGSUBJECT_C.CPP, CPU-time 5,79800 ms
CPP-file=LNK_LISTLINKINGINFORMATION_C.CPP, CPU-time 5,84300 ms
CPP-file=LOC_ANTENNACONTROLLER_C.CPP, CPU-time 5,86900 ms
CPP-file=LOC_BALISEDATARECEIVER_C.CPP, CPU-time 5,93800 ms
CPP-file=LOC_BALISEGROUP_C.CPP, CPU-time 5,97700 ms
CPP-file=LOC_BALISEHISTORY_C.CPP, CPU-time 5,99700 ms
